id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
204-3,2,How do you modify the circuit to calculate the Thevenin resistance $R_{th}$?,Keep the voltage source active and calculate total resistance,Replace the load resistor with a short circuit,Short-circuit the voltage source and open-circuit all current sources,Leave the output terminals open and calculate the equivalent resistance,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"To find $R_{th}$, we deactivate all independent sources. An ideal voltage source is replaced by a short circuit ($0V$ potential difference).",3,custom
204-4,2,"After shorting the $10V$ source, how does the resistor network simplify to find $R_{th}$?",All three resistors are in parallel,"The $5 \Omega$ and $20 \Omega$ are in parallel, and that combination is in series with the $10 \Omega$ resistor",All three resistors are in series,"The $5 \Omega$ and $20 \Omega$ are in series, then in parallel with $10 \Omega$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"With the source shorted, the $5 \Omega$ and $20 \Omega$ resistors are connected in parallel. This combination is then in series with the $10 \Omega$ resistor leading to terminal C.",3,custom
204-5,2,What is the calculated value of $R_{th}$?,10 Ω,14 Ω,25 Ω,35 Ω,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,The parallel combination is $(5 \times 20) / (5 + 20) = 100 / 25 = 4 \Omega$. Adding the series $10 \Omega$ resistor gives $R_{th} = 4 + 10 = 14 \Omega$.,3,custom
204-6,2,What condition must be met by the load resistance $R_L$ to achieve maximum power transfer?,$R_L = \infty \Omega$,$R_L = R_{th}$,$R_L = 0 \Omega$,$R_L = 2 \times R_{th}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"According to the Maximum Power Transfer Theorem, the load resistance $R_L$ must be equal to the Thevenin equivalent resistance of the circuit to maximize power delivered to the load.",3,custom
204-7,2,What is the maximum power transferred to the load?,2.286 W,1.000 W,1.143 W,0.571 W,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"Using $P_{max} = V_{th}^2 / (4 R_{th})$, we get $P_{max} = 8^2 / (4 \times 14) = 64 / 56 \approx 1.143 W$.",3,custom
205-1,2,"To find the maximum power transferred to load $R_L$, which theorem should be used to simplify the circuit relative to terminals $a$ and $b$?",Norton's Theorem,Superposition Theorem,Source Transformation,Thevenin's Theorem,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq5.png,"To apply the maximum power transfer theorem, we need to simplify the linear circuit to its Thevenin equivalent, consisting of a voltage source $V_{th}$ in series with a resistance $R_{th}$.",2,walk-lab-power
205-2,2,"By performing nodal analysis on the circuit (with the load removed at terminals $a$ and $b$), what is the value of the open-circuit voltage $V_{th}$?",100 V,120 V,60 V,80 V,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq5.png,Applying KCL at the nodes with $V_2$ and $V_{th}$ leads to the equations $3V_2 - V_{th} = 120$ and $-2V_2 + 2V_{th} = 80$. Solving this system yields $V_{th} = 120$ V.,2,walk-lab-power
205-3,2,"Because the circuit contains a dependent voltage source, how must we determine $R_{th}$?",By finding the equivalent resistance with the dependent source turned off.,By calculating the short-circuit current $I_{sc}$ and using $R_{th} = V_{th} / I_{sc}$.,By setting the dependent source to zero and calculating the passive resistance.,By setting all independent sources to zero and applying a test source ($V_T$ or $I_T$) at the terminals.,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq5.png,"Since independent sources must be deactivated (voltage sources shorted) and the circuit contains a dependent source, we cannot simply use series/parallel combinations. Applying a test source $V_T$ and calculating the resulting $I_T$ is necessary to find $R_{th} = V_T / I_T$.",2,walk-lab-power
205-4,2,"Using the test voltage method, what is the value of the Thevenin resistance $R_{th}$?",3 $\Omega$,6 $\Omega$,2 $\Omega$,4 $\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq5.png,"Applying a test voltage $V_T$ yields $V_T/I_T = 3$, therefore $R_{th} = 3$ $\Omega$.",2,walk-lab-power
205-5,2,"Applying the maximum power transfer theorem ($P_{max} = V_{th}^2 / 4R_{th}$), what is the maximum power delivered to the load $R_L$?",1500 W,1200 W,800 W,1000 W,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq5.png,"Given $V_{th} = 120$ V and $R_{th} = 3$ $\Omega$, the condition for max power is $R_L = R_{th} = 3$ $\Omega$. The power is $P_{max} = 120^2 / (4 * 3) = 14400 / 12 = 1200$ W.",2,walk-lab-power
206-1,2,"To perform Thevenin equivalent analysis on the given circuit, across which components are the terminals for the load $R_L$ defined?",Across the $R_L$ resistor's connection points in the center branch,Across the 12V voltage source,Across the $2k\Omega$ resistor,Across the $1k\Omega$ resistor,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq6.png,"Thevenin analysis is performed relative to the two terminals where the load resistor $R_L$ is connected. By removing $R_L$, we expose the open-circuit output terminals to calculate $V_{th}$ and $R_{th}$.",2,walk-lab-power
206-2,2,"Apply nodal analysis at the open-circuit node (let it be $V_1$) to find $V_{th}$. Given the constraint $V_x = 12 - V_1$, which of the following is the correct nodal equation?",$\frac{V_1 - 12}{1000} + \frac{V_1}{2000} = 2V_x$,$\frac{V_1 - 12}{2000} + \frac{V_1 - 2V_x}{1000} = 0$,$\frac{V_1}{2000} + \frac{V_1}{1000} = 12$,$\frac{V_1 + 12}{2000} + \frac{V_1 + 2V_x}{1000} = 0$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq6.png,"Applying KCL at the node where $R_L$ was connected, the sum of currents leaving the node equals zero: $\frac{V_1 - 12}{2000} + \frac{V_1 - 2V_x}{1000} = 0$. Substituting $V_x = 12 - V_1$ results in $V_1 = V_{th} = \frac{60}{7} \text{ V}$.",2,walk-lab-power
206-3,2,"To determine the Thevenin resistance $R_{th}$ in a circuit containing a dependent source, which method is most appropriate after deactivating the independent source?",Mesh analysis only,Test Voltage (or Test Current) method,Direct resistance summation (series/parallel),Source transformation,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq6.png,"Because the circuit contains a dependent source ($2V_x$), we cannot simply turn off all sources to find $R_{th}$. We must deactivate the 12V independent source (short circuit) and apply a test voltage $V_T$ at the terminals to find the resulting test current $I_T$, where $R_{th} = V_T / I_T$.",2,walk-lab-power
206-4,2,"Using the Test Voltage method where $R_{th} = V_T / I_T$, what is the resulting value for $R_{th}$?",$\frac{7}{2000} \Omega$,$\frac{2000}{7} \Omega$,$1000 \Omega$,$2000 \Omega$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq6.png,"With the independent source shorted, $V_x = -V_T$. Applying KCL at the node: $I_T = \frac{V_T}{2000} + \frac{V_T - 2(-V_T)}{1000} = \frac{V_T + 2V_T + 4V_T}{2000} = \frac{7V_T}{2000}$. Thus, $R_{th} = V_T / I_T = 2000/7 \Omega$.",2,walk-lab-power
206-5,2,What is the maximum power delivered to the load $R_L$ given $V_{th} = 60/7 \text{ V}$ and $R_{th} = 2000/7 \Omega$?,$P_{max} = V_{th}^2 / R_{th} = 10 \text{ W}$,$P_{max} = \frac{V_{th}^2}{2 R_{th}} = 5 \text{ W}$,$P_{max} = \frac{V_{th}^2}{4 R_{th}} = \frac{9}{140} \text{ W}$,$P_{max} = \frac{V_{th}^2}{8 R_{th}} = 0.5 \text{ W}$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq6.png,Maximum power transfer occurs when $R_L = R_{th} = 2000/7 \Omega$. The power is $P_{max} = \frac{V_{th}^2}{4R_{th}}$. Substituting: $\frac{(60/7)^2}{4(2000/7)} = \frac{3600/49}{8000/7} = \frac{3600}{49} \cdot \frac{7}{8000} = \frac{36}{49} \cdot \frac{7}{80} = \frac{36}{7 \cdot 80} = \frac{9}{140} \approx 0.0643 \text{ W}$.,2,walk-lab-power
