id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
205-4,2,"Calculate the current contribution $i_{R3}^{(2)}$ through $R_3$ when only $I_{S2} = 3.7\text{ A}$ is active ($R_1 = 6.8\,\Omega$, $R_2 = 4.7\,\Omega$, $R_3 = 2.7\,\Omega$).",$3.00\text{ A}$,$2.78\text{ A}$,$5.77\text{ A}$,$3.70\text{ A}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq5.png,"When $I_{S1}$ is open, current from $I_{S2}$ splits between $R_3$ and the branch with $(R_1 + R_2) = 6.8 + 4.7 = 11.5\,\Omega$. Using current division:
$$i_{R3}^{(2)} = 3.7 \left(\frac{R_1 + R_2}{R_3 + (R_1 + R_2)}\right) = 3.7 \left(\frac{11.5}{2.7 + 11.5}\right) = 3.00\text{ A}$$",1,walk-lab-superposition
205-5,2,Combine the individual current contributions to find the total current $i_{R3}$ using superposition.,$5.77\text{ A}$,$6.48\text{ A}$,$0.22\text{ A}$,$2.78\text{ A}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq5.png,"Since both individual currents flow downward through resistor $R_3$, we add them directly:
$$i_{R3} = i_{R3}^{(1)} + i_{R3}^{(2)} = 2.78 + 3.00 = 5.77\text{ A}$$",1,walk-lab-superposition
206-1,2,What is the fundamental principle of the superposition theorem as applied to a linear circuit with multiple independent sources?,The response in any branch is the product of all independent sources acting simultaneously.,The total power is equal to the sum of the powers delivered by each independent source acting alone.,"The response in any linear circuit containing multiple independent sources is the sum of the responses caused by each independent source acting alone, with all other independent sources replaced by their internal resistances.",Independent sources must be converted from voltage sources to current sources before analysis.,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"The superposition theorem states that for a linear system, the total response (voltage or current) is equal to the algebraic sum of the individual responses obtained by considering one independent source at a time, while all other independent voltage sources are replaced by short circuits (0 V) and all other independent current sources are replaced by open circuits (0 A).",3,walk-lab-superposition
206-2,2,"Based on the provided circuit diagram, how many independent sources are present and what are their types and values?",Two independent current sources and no voltage sources,Two independent voltage sources ($V_{S1} = 8\text{ V}$ and $V_{S2} = 6\text{ V}$),One independent voltage source ($V_{S2} = 6\text{ V}$) and one independent current source,One independent voltage source ($V_{S1} = 8\text{ V}$),optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"Looking at the circuit diagram, there are two independent voltage sources: $V_{S1} = 8\text{ V}$ on the left side and $V_{S2} = 6\text{ V}$ on the right side.",3,walk-lab-superposition
206-3,2,"To find the contribution of $V_{S1}$ acting alone, how must the independent voltage source $V_{S2}$ be deactivated?",Replaced by an open circuit,Replaced by a resistor equal to $R_5$,Left completely unchanged,Replaced by a short circuit ($0\text{ V}$ ideal voltage source),optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"To deactivate an independent voltage source, its voltage must be set to zero, which corresponds to replacing it with a short circuit (a wire with zero internal resistance).",3,walk-lab-superposition
206-4,2,"When $V_{S2}$ is deactivated by a short circuit, how do components $R_4$ and $R_5$ connect relative to each other in the modified circuit?",They form a closed loop independent of the rest of the circuit.,They are connected in parallel with each other.,They are connected in series with each other.,$R_4$ is shorted out completely by $R_5$.,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"When $V_{S2}$ is replaced by a short circuit, the right-hand side of resistor $R_4$ and the bottom of the shorted $V_{S2}$ connect the bottom of $R_4$ to the right of $R_5$. Consequently, $R_4$ and $R_5$ are connected in parallel.",3,walk-lab-superposition
206-5,2,"Given $R_1 = 39\text{ k}\Omega$, $R_2 = 22\text{ k}\Omega$, $R_3 = 12\text{ k}\Omega$, $R_4 = 68\text{ k}\Omega$, $R_5 = 22\text{ k}\Omega$, and $V_{S1} = 8\text{ V}$, what is the current flowing through $R_3$ due to $V_{S1}$ acting alone?",$45.2\ \mu\text{A}$,$82.1\ \mu\text{A}$,$67.59\ \mu\text{A}$,$155.5\ \mu\text{A}$,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"1. Combine $R_4 \parallel R_5 = \frac{68\cdot 22}{68 + 22} = 16.62\text{ k}\Omega$.\
2. Add in series with $R_3$: $12 + 16.62 = 28.62\text{ k}\Omega$.\
3. Combine in parallel with $R_2$: $R_{eq} = 22 \parallel 28.62 = 12.44\text{ k}\Omega$.\
4. Total resistance seen by $V_{S1}$: $R_{total} = R_1 + R_{eq} = 39 + 12.44 = 51.44\text{ k}\Omega$.\
5. Total current: $I = \frac{8}{51.44\text{k}} = 155.5\ \mu\text{A}$.\
6. Node voltage $V_A = (155.5\ \mu\text{A})(12.44\text{ k}\Omega) = 1.935\text{ V}$.\
7. Current through $R_3$ branch: $I_{R3} = \frac{1.935\text{ V}}{28.62\text{ k}\Omega} = 67.59\ \mu\text{A}$.",3,walk-lab-superposition
206-6,2,"Using the current through $R_3$ due to $V_{S1}$ alone ($67.59\ \mu\text{A}$) and $R_3 = 12\text{ k}\Omega$, what is the magnitude of the voltage component $v_{R3}^{(1)}$?",$2.768\text{ V}$,$0.453\text{ V}$,$1.935\text{ V}$,$0.811\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,Using Ohm's law: $v_{R3}^{(1)} = I_{R3} \times R_3 = (67.59\ \mu\text{A}) \times (12\text{ k}\Omega) = +0.811\text{ V}$.,3,walk-lab-superposition
206-7,2,"What is the sign/polarity of the voltage $v_{R3}^{(1)}$ across $R_3$ with respect to the reference polarity shown in the schematic (+ on the left, - on the right) when $V_{S1}$ acts alone?",Indeterminate,Positive (+),Negative (-),Zero,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"Current from $V_{S1}$ flows from left to right through resistor $R_3$, entering the positive terminal and leaving the negative terminal of the defined voltage $v_{R3}$, resulting in a positive voltage contribution ($+0.811\text{ V}$).",3,walk-lab-superposition
206-8,2,"To find the contribution of $V_{S2}$ acting alone, how must the independent voltage source $V_{S1}$ be deactivated?",Replaced by a short circuit ($0\text{ V}$ ideal voltage source),Disconnected by removing all connected wires,Replaced by a resistor equal to $R_1$,Replaced by an open circuit,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"To deactivate the independent voltage source $V_{S1}$, it is replaced by its internal resistance for an ideal voltage source, which is a short circuit ($0\text{ V}$).",3,walk-lab-superposition
206-9,2,"When $V_{S1}$ is replaced by a short circuit, how do resistors $R_1$ and $R_2$ combine initially on the left side of the circuit?",They are in parallel.,They are disconnected from the rest of the circuit.,$R_1$ is shorted out by the short circuit.,They are in series.,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"With $V_{S1}$ shorted to ground, the top of $R_1$ connects to the top node of $R_2$, and their bottoms are both connected to the common reference ground wire. Thus, $R_1$ and $R_2$ are connected in parallel.",3,walk-lab-superposition
206-10,2,"Given $V_{S2} = 6\text{ V}$ acting alone, what is the current flowing through the branch containing $R_3$?",$146.9\ \mu\text{A}$,$67.59\ \mu\text{A}$,$155.5\ \mu\text{A}$,$106.2\ \mu\text{A}$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"1. Combine $R_1 \parallel R_2 = \frac{39\cdot 22}{39 + 22} = 14.07\text{ k}\Omega$.\
2. Add in series with $R_3$: $12 + 14.07 = 26.07\text{ k}\Omega$.\
3. Combine in parallel with $R_4$: $R_{eq} = 68 \parallel 26.07 = 18.84\text{ k}\Omega$.\
4. Total resistance seen by $V_{S2}$: $R_{total} = R_5 + R_{eq} = 22 + 18.84 = 40.84\text{ k}\Omega$.\
5. Total current from $V_{S2}$: $I = \frac{6}{40.84\text{k}} = 146.9\ \mu\text{A}$.\
6. Voltage at node $B$ (before $R_4$): $V_B = (146.9\ \mu\text{A})(18.84\text{ k}\Omega) = 2.768\text{ V}$.\
7. Current through $R_3$ branch: $I_{branch} = \frac{2.768\text{ V}}{26.07\text{ k}\Omega} = 106.2\ \mu\text{A}$.",3,walk-lab-superposition
206-11,2,"Using the current through $R_3$ due to $V_{S2}$ alone ($106.2\ \mu\text{A}$) and $R_3 = 12\text{ k}\Omega$, what is the magnitude of the voltage component $v_{R3}^{(2)}$?",$1.432\text{ V}$,$0.463\text{ V}$,$1.274\text{ V}$,$2.768\text{ V}$,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,Using Ohm's law: $v_{R3}^{(2)} = I_{branch} \times R_3 = (106.2\ \mu\text{A}) \times (12\text{ k}\Omega) = 1.274\text{ V}$ (magnitude).,3,walk-lab-superposition
206-12,2,"What is the sign/polarity of the voltage contribution $v_{R3}^{(2)}$ with respect to the reference polarity defined in the circuit (+ on the left, - on the right) when $V_{S2}$ acts alone?",Unchanged,Negative (-),Positive (+),Zero,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,"When $V_{S2}$ acts alone, current flows from right to left through resistor $R_3$. This enters the negative terminal and leaves the positive terminal of the defined reference $v_{R3}$, resulting in a negative voltage contribution ($v_{R3}^{(2)} = -1.274\text{ V}$).",3,walk-lab-superposition
206-13,2,How are the individual voltage contributions $v_{R3}^{(1)}$ and $v_{R3}^{(2)}$ combined to find the total voltage $v_{R3}$?,Subtracted directly: $v_{R3} = v_{R3}^{(1)} - v_{R3}^{(2)}$,Root-sum-squared: $v_{R3} = \sqrt{(v_{R3}^{(1)})^2 + (v_{R3}^{(2)})^2}$,Added algebraically: $v_{R3} = v_{R3}^{(1)} + v_{R3}^{(2)}$,Multiplied together: $v_{R3} = v_{R3}^{(1)} \times v_{R3}^{(2)}$,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,The superposition theorem specifies that the total response is the algebraic sum of the individual responses obtained from each source acting independently: $v_{R3} = v_{R3}^{(1)} + v_{R3}^{(2)}$.,3,walk-lab-superposition
206-14,2,"Using $v_{R3}^{(1)} = +0.811\text{ V}$ and $v_{R3}^{(2)} = -1.274\text{ V}$, calculate the total voltage $v_{R3}$ across resistor $R_3$.",$-0.463\text{ V}$,$+0.463\text{ V}$,$-2.085\text{ V}$,$+2.085\text{ V}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq6.png,Summing the two individual contributions: $v_{R3} = v_{R3}^{(1)} + v_{R3}^{(2)} = +0.811\text{ V} + (-1.274\text{ V}) = -0.463\text{ V}$.,3,walk-lab-superposition
