id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
203-4,2,"Solve the KCL equation to find the node voltage at terminal a, which equals the Thevenin voltage.",$V_{Th} = 6\text{ V}$,$V_{Th} = 10\text{ V}$,$V_{Th} = 8\text{ V}$,$V_{Th} = 12\text{ V}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"Starting with the KCL equation $\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$, multiply the entire equation by $6$:
$2(V_a - 12) + V_a = 6$
$2V_a - 24 + V_a = 6$
$3V_a = 30$
$V_a = 10\text{ V}$
Since $V_{Th} = V_a$ (with $V_b = 0\text{ V}$), we get $V_{Th} = 10\text{ V}$.",1,walk-lab-thevenin
204-1,2,How do you deactivate the independent source to prepare for finding the Thevenin resistance?,Replace the $5\text{ V}$ independent voltage source with a short circuit,Replace the $5\text{ V}$ independent voltage source with a $1\text{ k}\Omega$ resistor,Leave the $5\text{ V}$ independent voltage source as it is,Replace the $5\text{ V}$ independent voltage source with an open circuit,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"To find the Thevenin resistance, all independent sources must be deactivated. An independent voltage source is deactivated by replacing it with a short circuit ($0\text{ V}$), meaning a wire connection.",2,walk-lab-thevenin
204-2,2,What is the equivalent resistance of the two two-kiloohm resistors after deactivating the independent source?,$0.5\text{ k}\Omega$,$2\text{ k}\Omega$,$4\text{ k}\Omega$,$1\text{ k}\Omega$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"After replacing the $5\text{ V}$ source with a short circuit, both $2\text{ k}\Omega$ resistors are connected in parallel between the intermediate node and ground ($B$). Thus, their equivalent resistance is $R_{\text{eq}} = 2\text{ k}\Omega \parallel 2\text{ k}\Omega = \frac{2 \times 2}{2 + 2} = 1\text{ k}\Omega$.",2,walk-lab-thevenin
204-3,2,How do you connect a test source across terminals A and B to find the Thevenin resistance for a circuit with a dependent source?,Connect a test resistor across terminals A and B,Connect a test current source $I_t$ or test voltage source $V_t$ directly between terminals A and B,Connect a test current source across the $5\text{ V}$ source terminals,Connect a test voltage source in series with the $1\text{ k}\Omega$ resistor,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"Since the circuit contains a dependent source, we apply a test voltage source $V$ (or test current source $I_t$) across the open terminals A and B to determine the ratio $R_{\text{Th}} = \frac{V}{I_t}$.",2,walk-lab-thevenin
204-4,2,What is the relationship between the test voltage $V$ and the voltage of the left-hand node relative to terminal B?,$V_{\text{left}} = V + 3V_{AB}$,$V_{\text{left}} = 3V_{AB}$,$V_{\text{left}} = V$,$V_{\text{left}} = V - 3V_{AB}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"Let $V_{AB} = V$ with terminal B as reference ($0\text{ V}$). The dependent voltage source is $3V_{AB} = 3V$ with the positive terminal on the left and negative on the right. Applying KVL gives $V_{\text{left}} - V_A = 3V$, so $V_{\text{left}} = V + 3V = 4V$.",2,walk-lab-thevenin
204-5,2,Calculate the total test current entering terminal A and determine the resulting Thevenin resistance.,$R_{\text{Th}} = 200\text{}\Omega$ ($0.2\text{ k}\Omega$),$R_{\text{Th}} = 50\Omega$,$R_{\text{Th}} = 0.5\text{ k}\Omega$,$R_{\text{Th}} = 1\text{ k}\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"The current through the left $1\text{ k}\Omega$ equivalent resistor is $I_1 = \frac{4V}{1\text{ k}\Omega}$, and the current directly through the right $1\text{ k}\Omega$ resistor is $I_2 = \frac{V}{1\text{ k}\Omega}$. The total test current is $I_t = I_1 + I_2 = \frac{4V}{1\text{ k}} + \frac{V}{1\text{ k}} = \frac{5V}{1\text{ k}}$. Thus, $R_{\text{Th}} = \frac{V}{I_t} = \frac{V}{5V / 1000} = 200\text{}\Omega = 0.2\text{ k}\Omega$.",2,walk-lab-thevenin
205-1,2,"How does the open-circuit condition at terminal a affect the current and voltage drop across the $4\,\Omega$ resistor?","The current is maximum, and the voltage drop is 25 V.","The current is non-zero, but the voltage drop is zero.","The current is 3 A, and the voltage drop is 12 V.","The current is zero, and the voltage drop is zero.",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq4.png,"Since the output terminal $a$ is open-circuited, no current can flow through the $4\,\Omega$ resistor connected in series with it ($I_{4\Omega} = 0$). By Ohm's law, with zero current, the voltage drop across the $4\,\Omega$ resistor is also zero ($V = I \times R = 0$). Thus, the open-circuit voltage $V_{th}$ is simply equal to the node voltage $V_1$ at the main top node.",2,walk-lab-thevenin
205-2,2,What is the open-circuit Thevenin voltage $V_{th}$ obtained by applying nodal analysis at the top node connected between the parallel branches?,16 V,25 V,48 V,32 V,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq4.png,"Taking node $b$ as ground and letting the main top node voltage be $V$, we apply KCL at that node:
$$\frac{V - 25}{5} + \frac{V}{20} - 3 = 0$$
Multiplying the entire equation by 20 gives:
$$4(V - 25) + V - 60 = 0$$
$$4V - 100 + V - 60 = 0 \implies 5V = 160 \implies V = 32\text{ V}$$
Therefore, the Thevenin voltage is $V_{th} = V_{ab} = 32\text{ V}$.",2,walk-lab-thevenin
205-3,2,How should the independent voltage and current sources be deactivated to find the Thevenin resistance?,Replace the 25 V voltage source with a short circuit and the 3 A current source with an open circuit.,Replace both the 25 V voltage source and the 3 A current source with open circuits.,Replace the 25 V voltage source with an open circuit and the 3 A current source with a short circuit.,Replace both the 25 V voltage source and the 3 A current source with short circuits.,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq4.png,"To determine the equivalent resistance $R_{th}$, independent sources must be deactivated (turned off): independent voltage sources are replaced by a short circuit (0 V, meaning a wire), and independent sources of current are replaced by an open circuit (0 A, meaning a break in the circuit). Thus, the 25 V source becomes a short circuit, and the 3 A source becomes an open circuit.",2,walk-lab-thevenin
205-4,2,What is the equivalent Thevenin resistance $R_{th}$ seen looking into terminals a and b?,4 \Omega,24 \Omega,8 \Omega,5 \Omega,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq4.png,"After deactivating the sources, the $5\,\Omega$ and $20\,\Omega$ resistors are in parallel:
$$5 \parallel 20 = \frac{5 \times 20}{5 + 20} = \frac{100}{25} = 4\,\Omega$$
This equivalent resistance is in series with the $4\,\Omega$ resistor leading to terminal $a$:
$$R_{th} = 4 + 4 = 8\,\Omega$$",2,walk-lab-thevenin
206-1,2,How do you set up the circuit to find the open-circuit voltage $V_{th}$ across terminals a and b?,Leave terminals a and b open-circuited and calculate the voltage $V_{ab} = V_2$ across them.,Deactivate all independent sources and attach a test source $V_t$ at terminals a and b.,Remove all resistors connected to node 1 and calculate the equivalent resistance.,Short-circuit terminals a and b to measure the current flowing through them.,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq5.png,"To find the Thevenin voltage $V_{th}$, terminals $a$ and $b$ must be left as an open circuit. The open-circuit voltage $V_{oc}$ is equal to the node voltage $V_2$ at terminal $a$ with respect to terminal $b$.",3,walk-lab-thevenin
206-2,2,What are the nodal equations used to find $V_{th}$ at nodes 1 and 2?,$\frac{V_1 - 5}{1000} + \frac{V_1}{2000} = 0$ and $\frac{V_2}{1000} + \frac{V_2 - V_1}{10000} = 0$,$\frac{V_1 - 5}{2000} + \frac{V_1}{6000} = 0$ and $\frac{V_2}{10000} + 0.0005V_1 = 0$,$\frac{V_1}{2000} + \frac{V_1 - V_2}{6000} = 5$ and $\frac{V_2 - V_1}{1000} = 0$,$\frac{V_1 - 5}{2000} + \frac{V_1}{6000} + \frac{V_1 - V_2}{1000} = 0$ and $\frac{V_2 - V_1}{1000} + 0.0005V_1 + \frac{V_2}{10000} = 0$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq5.png,"Applying Kirchhoff's Current Law (KCL) at node 1 gives the sum of currents leaving the node: $\frac{V_1 - 5}{2000} + \frac{V_1}{6000} + \frac{V_1 - V_2}{1000} = 0$. At node 2, KCL gives: $\frac{V_2 - V_1}{1000} + 0.0005V_1 + \frac{V_2}{10000} = 0$.",3,walk-lab-thevenin
206-3,2,What is the calculated value of the Thevenin voltage $V_{th}$?,$0.9375\text{ V}$,$1.5\text{ V}$,$0.75\text{ V}$,$5.0\text{ V}$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq5.png,"Solving the simultaneous nodal equations yields $V_2 = \frac{7.5}{8} = 0.9375\text{ V}$. Since $V_{th} = V_{oc} = V_2$, the Thevenin voltage is $0.9375\text{ V}$.",3,walk-lab-thevenin
206-4,2,How do you modify the circuit to find $R_{th}$ when a dependent source is present?,Short-circuit terminals a and b and find the short-circuit current directly without any source modifications.,Open all branches containing resistors and measure the voltage drop across the dependent source.,Leave the $5\text{ V}$ source active and simply calculate the equivalent resistance using parallel combinations.,Deactivate all independent sources (replace the $5\text{ V}$ voltage source with a short circuit) and connect a test source $V_t$ (or $I_t$) at terminals a and b.,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq5.png,"Because the circuit contains a dependent source, we must deactivate independent sources (independent voltage source becomes a short circuit) and apply a test voltage source $V_t$ at terminals $a$ and $b$ to determine the ratio $R_{th} = V_t / I_t$.",3,walk-lab-thevenin
206-5,2,How do you calculate the total test current $I_t$ drawn from the test source and determine $R_{th}$?,"$I_t = 0.0005 V_t + \frac{V_t}{6\text{ k}\Omega}$, giving $R_{th} = 2000\Omega$.","$I_t = \frac{V_t}{10\text{ k}\Omega} + \frac{0.4 V_t}{1\text{ k}\Omega} + 0.0003 V_t = 0.0008 V_t$, giving $R_{th} = 1250\Omega = 1.25\text{ k}\Omega$.","$I_t = \frac{V_t}{2\text{ k}\Omega} + \frac{V_t}{1\text{ k}\Omega}$, giving $R_{th} = 667\Omega$.","$I_t = \frac{V_t}{10\text{ k}\Omega} + \frac{V_t}{1\text{ k}\Omega} = 0.0011 V_t$, giving $R_{th} = 909\Omega$.",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq5.png,"With the independent $5\text{ V}$ source shorted, node 1 voltage is related to test voltage by $V_1 = 0.6 V_t$. Summing currents leaving node $a$ gives $I_t = \frac{V_t}{10\text{ k}} + \frac{V_t - V_1}{1k} + 0.0005V_1 = 0.0008 V_t$. Thus, $R_{th} = \frac{V_t}{0.0008 V_t} = 1250\Omega = 1.25\text{ k}\Omega$.",3,walk-lab-thevenin
